手牌,绝对胜率_%,绝对平局率_%,绝对负率_%,vs_all_pairs_胜率_%,vs_all_pairs_平局_%,vs_broadway_胜率_%,vs_broadway_平局_%,vs_top20pct_胜率_%,vs_top20pct_平局_%
AA,84.5,0.6,14.8,80,1.6,84.8,0.8,83.9,1.4
KK,81.9,0.8,17.3,74.2,2.1,78.5,0.6,73.7,1.6
QQ,79.5,1,19.5,68.1,2.4,72,0.7,66.6,1.5
JJ,75.8,1.1,23.1,62.9,2.6,62.7,0.9,60.3,1.8
TT,74,0.9,25,58.4,2.8,55.7,1,54.5,1.6
99,69.8,1.1,29,54.1,2.5,52,0.5,49.5,1.3
88,67.5,1.5,31,49.6,2.4,51.4,0.6,48,1.4
QAs,66,1.9,32.1,44.9,0.4,59.6,8.3,54.6,7.4
KAs,65.9,1.6,32.5,46.4,0.4,65.1,8.4,58.9,7.6
JAs,65,1.8,33.2,44.2,0.4,55.9,7.8,49.8,8.2
KAo,64.3,2,33.7,44.8,0.5,63.3,8.4,56.4,8
77,64,1.1,35,45,2.5,50.7,0.6,45.3,1.3
QAo,63.4,1.8,34.8,43.7,0.4,59,8.6,50.7,8
TAs,63.4,2.2,34.4,44.3,0.4,50,9.4,44.8,7.8
QKs,62.1,2,35.9,45.4,0.7,50.7,8.5,43.7,6.6
JAo,62.1,2,35.9,40.2,0.6,54.1,8.7,47.7,8.5
TAo,61.9,2.4,35.7,40.4,0.6,48.3,9.6,42.1,7.8
JKs,61.7,2.3,36,44.7,0.7,45.6,8,39.1,6.7
66,61.1,1.2,37.7,39.8,2.5,51.2,0.8,43.1,1
9As,60.9,2.5,36.6,41.3,0.4,49,2.5,41.9,4.8
8As,60.8,2.7,36.4,39.8,0.5,46.9,2.9,40.2,5.5
QKo,60.8,2.1,37.2,41.3,0.6,48.6,9.1,39.8,6.6
TKs,60.5,2.5,37,43.8,0.6,41.9,8.4,38.1,3.2
9Ao,60.2,2.8,37,37.1,0.4,44.5,2.5,39.5,4.2
7As,59.8,2.9,37.3,39.3,0.6,47.3,2.3,40.4,5.3
JKo,59.8,2.1,38.1,42.4,0.6,43,10,36.5,6.6
9Ks,58.8,2.8,38.4,39.8,0.6,42.5,2.5,36.8,1.9
JQs,58.8,2.5,38.7,43.2,0.8,39.9,8.4,36.1,5.8
55,58.7,1,40.3,34.8,2.6,50.3,0.6,41.8,0.9
5As,58.7,3.4,37.9,38.1,0.4,47.9,2.4,39.3,4.9
TKo,58.4,2.5,39.1,38.1,0.6,37.8,9.5,34.8,2.9
8Ao,58.3,3.1,38.6,37.4,0.6,45.4,3.1,38.1,4.6
TQs,57.7,2.7,39.6,41.8,0.8,33.8,8.9,37.9,1.9
JQo,57.6,2.5,39.9,41,0.7,36.7,9.1,32.5,6.9
7Ao,57.6,3.4,39,35.4,0.5,44.9,2.7,36.7,4.9
4As,57.3,3.3,39.4,36,0.5,48.6,2.5,38.6,4.6
8Ks,57.2,3,39.8,38.4,0.6,41,2.5,36.4,1.7
6As,57.2,3.6,39.2,36.7,0.5,47.2,2.4,39.5,5.3
7Ks,56.5,3.3,40.2,37.9,0.7,39.8,2.4,35.5,1.6
9Ko,56.4,2.8,40.9,37.1,0.8,38,2.5,34.9,1.5
3As,56,3.8,40.3,35.6,0.5,47.4,2.8,39.3,4.2
9Qs,55.9,2.8,41.4,39.7,0.8,36.9,2.5,35.8,1.1
5Ao,55.9,4,40.2,34.4,0.3,45,2.7,35.3,5.5
2As,55.6,3.7,40.7,33.1,0.5,48.6,2.7,38.1,4.7
6Ao,55.5,3.6,40.8,34.7,0.4,44.8,3,35.6,5
TJs,55.4,3.1,41.4,43,1,30.7,7.5,35.9,2.5
44,55.3,1.1,43.7,28.8,2.2,49.8,0.8,41.3,0.7
TQo,55.3,3,41.7,40.4,0.7,31.1,9.4,33.6,1.9
8Qs,55,3.2,41.7,38.3,0.8,37.5,2.1,35.4,1.1
6Ks,54.7,3.3,42,35.8,0.9,41.3,2.5,34.5,1.6
8Ko,54.6,3.3,42.1,33.4,0.6,36.7,2.2,31.8,1.7
3Ao,54.5,3.5,42,30.6,0.4,46.9,2.4,36,4.3
4Ao,54.5,4,41.5,32.9,0.4,44.9,2.2,36.1,4.8
5Ks,54.4,3.7,41.9,33.5,0.5,40.7,2.3,34.4,1.6
TJo,54.4,3.1,42.5,40,0.6,28,8.6,31.5,2.6
7Ko,54.4,3.2,42.5,33.8,0.6,37.5,3,31.6,1.9
9Js,54,3.2,42.7,38.2,0.9,35.1,1.9,34.7,1.3
9Qo,53.6,3.4,43,37.5,0.7,34,2.4,31,1.3
4Ks,53.1,3.9,43,32.2,0.6,40.4,2.7,34.7,1.8
7Qs,52.8,3.5,43.7,35.9,0.7,35.8,2.3,33.2,1.5
8Qo,52.5,3.2,44.3,33.4,0.7,33,2.1,30.8,1.2
6Ko,52.5,3.7,43.8,33.9,0.7,37.9,2.2,30.3,1.7
2Ao,52.4,3.9,43.7,30.4,0.4,45,2.7,36.1,5.1
9Ts,52.1,3.4,44.5,40.7,0.9,36.3,1.7,37.2,1
6Qs,51.8,4.3,44,34.5,0.8,35.2,2.2,32.5,1.4
8Js,51.8,3.6,44.6,38.1,0.7,34.6,2.1,33.9,1.5
2Ks,51.8,3.9,44.3,30.4,0.7,41.2,2.8,34.4,1.8
3Ks,51.7,4,44.3,33,0.9,40.8,2.3,35.4,2
33,51.6,0.9,47.5,22.6,2.2,49.8,0.5,41.8,0.5
5Ko,51.3,4.3,44.4,31.9,0.6,37,2.5,31.5,1.7
9Jo,51.2,3.4,45.4,37.6,0.7,31.8,2,32.3,1.3
4Ko,51.1,4.4,44.5,28.9,0.6,36.9,2.6,32.1,1.7
8Jo,50.8,3.4,45.8,35,1,30.6,2.1,30.8,1.5
7Js,50.6,3.6,45.8,37.1,0.8,33.2,2.3,32.1,1.2
8Ts,50.1,4.2,45.6,37,1.1,35,1.7,35.1,1
3Ko,50,4.3,45.8,27.2,0.7,36,2.5,31.4,1.3
4Qs,49.7,4.3,46,31.6,0.8,36.8,2.5,33.1,1.4
7Qo,49.7,3.9,46.4,33.1,0.7,32.3,2.1,29.2,1.5
9To,49.7,3.5,46.8,35.9,1,30.5,1.8,33,1
5Qs,49.5,4.1,46.4,33.9,0.7,36.2,2.3,33,1.5
2Ko,49.4,4,46.6,26.6,0.6,35.2,2.6,30.2,1.5
6Js,49.2,3.8,47,32.7,0.7,32.4,2.1,31.5,1.3
22,49.1,0.7,50.1,16.9,1.9,49.5,0.5,41.4,0.4
6Qo,49.1,4.5,46.5,31.8,0.7,31.6,2.5,29.5,1.4
89s,48.8,3.6,47.6,37.2,0.6,38.9,0.6,36,0.8
5Qo,48.5,3.7,47.8,29.6,0.5,32.7,2.6,29.7,1.4
2Qs,48.5,3.8,47.7,29.4,0.8,35.1,2.4,33.1,1.3
8To,48.1,4.1,47.8,34.7,0.8,31,1.9,31.5,1.1
5Js,48.1,4.3,47.6,32.8,1,32.6,1.9,31.3,1.3
3Qs,48,4.2,47.8,32.1,0.6,34.1,2.5,32.7,1.2
7Ts,48,3.6,48.4,35.4,1,32.7,1.6,34.4,0.9
79s,47.6,4.5,47.9,35.8,0.9,38.1,0.6,34.8,0.8
6Ts,47.3,4,48.6,31.9,0.9,33.7,1.8,33,0.9
7Jo,47.3,3.9,48.8,31.9,0.8,30.1,2.3,28.9,1.2
4Qo,47.1,4.1,48.7,28.5,0.7,32.1,2.1,28.6,1.3
78s,46.9,4.4,48.6,34.1,1.3,39.4,0.8,35.9,1
3Js,46.6,4,49.5,28.3,0.8,31.2,2.1,28.9,1.5
89o,46.5,3.8,49.7,34.1,1.3,35.2,0.7,32.8,0.7
4Js,46.5,4.2,49.2,30.7,0.8,33.3,2.3,31.4,1.3
3Qo,46.1,4.3,49.7,28,0.4,32.9,2.3,28.2,1.1
2Qo,45.9,4.2,49.9,25.4,0.9,30.9,2.3,28.3,1.5
6Jo,45.7,4,50.2,30,0.6,28.6,1.9,27.4,1.4
4Ts,45.6,4.4,50,30.7,0.9,32.2,2,30.8,0.9
2Js,45.5,4.2,50.4,27.8,0.7,31.6,2.2,31,1.4
5Jo,45.3,3.8,50.9,29.1,0.9,28.7,2.4,28.2,1.4
7To,45.3,4.3,50.4,31.6,1.6,29.6,2,31.1,0.8
69s,44.6,4.3,51.1,32.3,1,36.9,0.6,33.3,0.7
5Ts,44.6,4.2,51.2,32.1,1.1,31.2,1.9,31,0.9
79o,43.9,5,51.1,30.6,1.2,33.8,0.7,30.8,0.6
6To,43.9,4.6,51.5,29.7,1,28.7,1.8,28.9,1.2
4Jo,43.6,4.4,52,27.8,1.2,28.4,2.3,27,1.4
3Ts,43.5,4.5,52,28.9,1,32.3,1.8,31.4,0.9
68s,43.2,4.5,52.3,32,1.1,37.4,0.8,35.1,0.7
3Jo,43,4.6,52.4,26.2,0.7,28.9,2.4,27.3,1.3
59s,42.9,4.5,52.6,30.3,1,35.6,0.7,31,0.7
78o,42.5,4.8,52.7,31.4,1.3,35.8,0.6,32.3,0.9
2Ts,42.2,4.6,53.2,26.4,0.9,30.5,1.8,30.5,1.3
58s,41.9,4.8,53.3,30.6,1.3,37.6,0.5,33.1,0.8
2Jo,41.6,4.9,53.5,24.2,0.8,27.9,2,26.5,1.3
69o,41.5,4.5,53.9,29.2,0.9,33.9,0.5,29,0.8
4To,41.4,4.8,53.8,26.7,1,27.7,1.6,26.9,1
67s,41.3,4.8,53.8,32.6,1.3,38.7,0.7,33.7,1
5To,41.3,4.7,53.9,29.1,1,26.7,1.8,27.3,1.2
49s,41.2,5,53.9,29.2,1,34.6,0.7,31,0.7
57s,41.2,5.6,53.2,30.9,1.1,38.3,0.8,34.1,0.9
39s,41.1,4.5,54.3,27.3,1.1,33.8,0.9,32.5,0.7
3To,41,4.8,54.2,24.1,0.9,27.7,2.2,27.3,0.9
29s,40.6,4.2,55.1,25,0.6,34.1,0.7,31.6,0.8
59o,40.6,5.1,54.4,27.9,1.2,31.7,0.8,28.8,0.7
48s,40.2,5,54.8,28.3,1.1,36.6,0.7,32.5,0.8
68o,40.2,4.9,54.9,29.8,1.1,34,0.8,30.2,0.8
56s,40.1,5.4,54.5,30,1.3,38,0.8,34.5,0.9
2To,39.8,4.7,55.5,23.9,1.1,26.6,2,27.7,1.2
45s,39.3,5.4,55.3,28,1.7,38.7,0.7,35.2,0.7
67o,39.3,5.7,55,29.2,1.2,35.6,0.8,30.7,0.9
47s,39.1,5.4,55.6,27.4,0.8,37.2,1,32.2,0.9
46s,38.6,5.9,55.5,27.9,1,38.1,0.7,32.6,1
37s,38.4,5,56.6,24.8,1.1,36.8,0.7,31.3,0.7
38s,38.3,5.1,56.6,24.5,1,34.3,0.7,30.9,0.7
39o,38.2,5.5,56.3,22.9,1,30.5,1,26.3,0.8
58o,38.1,5.6,56.3,27,1.3,34.8,0.7,29.3,0.9
49o,38.1,5.1,56.8,24,0.9,30.2,0.8,27.7,0.8
57o,37.9,5.6,56.6,27.7,0.9,35.7,0.7,30.3,1
28s,37.8,5.1,57,23.6,1.1,33.8,0.8,30.9,0.7
29o,37.2,5.1,57.8,20.1,0.9,30.2,0.5,26.8,0.8
35s,37,5.7,57.4,24.5,1.4,39.6,0.5,33.2,1
56o,36.7,6,57.3,26,1.4,36.6,0.5,30.7,0.9
48o,36.5,5.3,58.2,24.6,1.1,31.4,0.8,28.5,0.6
36s,36.5,5.5,58,24.7,1.2,36.5,0.8,32.1,0.8
47o,36.1,5.6,58.3,24.8,1.4,33.9,0.6,28.6,0.8
27s,36.1,5.1,58.8,22.8,1.1,35.8,0.5,29.7,0.6
46o,35.8,5.9,58.2,23.7,1.4,34,0.7,30,0.8
34s,35.5,5.7,58.8,23.9,1.3,38.2,0.7,33.8,0.9
45o,35.5,6.3,58.2,24.9,1.3,36.6,0.8,30.1,0.8
25s,35,5.9,59.2,23.8,1.3,36.8,0.7,31.6,0.8
26s,35,5.5,59.4,22.9,1.2,35.8,0.7,31.4,0.6
24s,34.3,5.6,60,21.7,1.4,37.8,0.7,31.8,0.8
28o,34.2,5.3,60.5,20.5,1.1,30.7,0.7,26.7,0.7
38o,34,5.3,60.6,20.1,1.2,31.6,0.7,27.2,0.7
23s,34,5.9,60.1,17.6,1.3,35.7,0.7,31.1,0.8
35o,33.4,5.9,60.7,20.7,1.3,34.8,0.8,29.7,0.8
36o,33.3,5.8,61,20.3,1.3,34.4,0.8,27.4,0.9
37o,33,5.9,61.1,22.1,1.3,32.3,0.9,28.1,0.8
34o,32.8,5.7,61.5,19.2,1.7,34.3,0.6,29.1,0.8
27o,32.1,5.4,62.5,17.4,1.3,32.1,0.7,26.3,0.9
25o,31.6,6.3,62.1,19.1,1.4,33.6,0.6,28.7,0.8
26o,31.3,5.8,62.9,17.9,1.2,31.8,0.7,26.8,0.8
24o,30.3,6,63.7,16.4,1.4,32.3,0.6,28.9,0.8
23o,29.9,6,64.1,14.9,1.4,32.9,1,28.4,0.9
